		Total Processors: 5

----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  |  Proc # 3  |  Proc # 4  | Regular Queue  | Priority Queue |----------------
  Time:     0   | Not Active | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:     1   | Not Active | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:     2   | Not Active | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:     3   | Not Active | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:     4   | Not Active | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:     5   | Not Active | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:     6   | Type A,  3 | Type B,  4 | Type C,  9 | Not Active | Not Active | No queue items | No queue items | 
  Time:     7   | Type A,  2 | Type B,  3 | Type C,  8 | Not Active | Not Active | No queue items | No queue items | 
  Time:     8   | Type A,  1 | Type B,  2 | Type C,  7 | Not Active | Not Active | No queue items | No queue items | 
  Time:     9   | Not Active | Type B,  1 | Type C,  6 | Not Active | Not Active | No queue items | No queue items | 
  Time:    10   | Type D,  3 | Not Active | Type C,  5 | Not Active | Not Active | No queue items | No queue items | 
  Time:    11   | Type D,  2 | Type A,  1 | Type C,  4 | Not Active | Not Active | No queue items | No queue items | 
  Time:    12   | Type D,  1 | Type B,  3 | Type C,  3 | Not Active | Not Active | No queue items | No queue items | 
  Time:    13   | Not Active | Type B,  2 | Type C,  2 | Not Active | Not Active | No queue items | No queue items | 
  Time:    14   | Type D, 11 | Type B,  1 | Type C,  1 | Not Active | Not Active | No queue items | No queue items | 
  Time:    15   | Type D, 10 | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:    16   | Type D,  9 | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:    17   | Type D,  8 | Type A,  5 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:    18   | Type D,  7 | Type A,  4 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:    19   | Type D,  6 | Type A,  3 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:    20   | Type D,  5 | Type A,  2 | Type B,  4 | Type C,  6 | Not Active | No queue items | No queue items | 
  Time:    21   | Type D,  4 | Type D, 18 | Type B,  3 | Type C,  5 | Type A,  1 | Q Total:     1 | No queue items | 
  Time:    22   | Type D,  3 | Type D, 17 | Type B,  2 | Type C,  4 | Type A,  4 | No queue items | No queue items | 
  Time:    23   | Type D,  2 | Type D, 16 | Type B,  1 | Type C,  3 | Type A,  3 | No queue items | No queue items | 
  Time:    24   | Type D,  1 | Type D, 15 | Not Active | Type C,  2 | Type A,  2 | No queue items | No queue items | 
  Time:    25   | Not Active | Type D, 14 | Not Active | Type C,  1 | Type A,  1 | No queue items | No queue items | 
  Time:    26   | Type A,  5 | Type D, 13 | Type B,  2 | Not Active | Not Active | No queue items | No queue items | 
  Time:    27   | Type A,  4 | Type D, 12 | Type B,  1 | Not Active | Not Active | No queue items | No queue items | 
  Time:    28   | Type A,  3 | Type D, 11 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:    29   | Type A,  2 | Type D, 10 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:    30   | Type A,  1 | Type D,  9 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:    31   | Not Active | Type D,  8 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:    32   | Type A,  1 | Type D,  7 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:    33   | Type D,  9 | Type D,  6 | Type B,  5 | Not Active | Not Active | No queue items | No queue items | 
  Time:    34   | Type D,  8 | Type D,  5 | Type B,  4 | Type C,  8 | Not Active | No queue items | No queue items | 
  Time:    35   | Type D,  7 | Type D,  4 | Type B,  3 | Type C,  7 | Not Active | No queue items | No queue items | 
  Time:    36   | Type D,  6 | Type D,  3 | Type B,  2 | Type C,  6 | Not Active | No queue items | No queue items | 
  Time:    37   | Type D,  5 | Type D,  2 | Type B,  1 | Type C,  5 | Type A,  3 | No queue items | No queue items | 
  Time:    38   | Type D,  4 | Type D,  1 | Not Active | Type C,  4 | Type A,  2 | No queue items | No queue items | 
  Time:    39   | Type D,  3 | Not Active | Not Active | Type C,  3 | Type A,  1 | No queue items | No queue items | 
  Time:    40   | Type D,  2 | Type C,  6 | Not Active | Type C,  2 | Not Active | No queue items | No queue items | 
  Time:    41   | Type D,  1 | Type C,  5 | Type B,  6 | Type C,  1 | Not Active | No queue items | No queue items | 
  Time:    42   | Type A,  2 | Type C,  4 | Type B,  5 | Not Active | Not Active | No queue items | No queue items | 
