		Total Processors: 3

----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  | Regular Queue  | Priority Queue |----------------
  Time:     0   | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:     1   | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:     2   | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:     3   | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:     4   | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:     5   | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:     6   | Type A,  3 | Type B,  4 | Type C,  9 | No queue items | No queue items | 
  Time:     7   | Type A,  2 | Type B,  3 | Type C,  8 | No queue items | No queue items | 
  Time:     8   | Type A,  1 | Type B,  2 | Type C,  7 | No queue items | No queue items | 
  Time:     9   | Not Active | Type B,  1 | Type C,  6 | No queue items | No queue items | 
  Time:    10   | Type D,  3 | Not Active | Type C,  5 | No queue items | No queue items | 
  Time:    11   | Type D,  2 | Type A,  1 | Type C,  4 | No queue items | No queue items | 
  Time:    12   | Type D,  1 | Type B,  3 | Type C,  3 | No queue items | No queue items | 
  Time:    13   | Not Active | Type B,  2 | Type C,  2 | No queue items | No queue items | 
  Time:    14   | Type D, 11 | Type B,  1 | Type C,  1 | No queue items | No queue items | 
  Time:    15   | Type D, 10 | Not Active | Not Active | No queue items | No queue items | 
  Time:    16   | Type D,  9 | Not Active | Not Active | No queue items | No queue items | 
  Time:    17   | Type D,  8 | Type A,  5 | Not Active | No queue items | No queue items | 
  Time:    18   | Type D,  7 | Type A,  4 | Not Active | No queue items | No queue items | 
  Time:    19   | Type D,  6 | Type A,  3 | Not Active | No queue items | No queue items | 
  Time:    20   | Type D,  5 | Type A,  2 | Type B,  4 | Q Total:     1 | No queue items | 
  Time:    21   | Type D,  4 | Type D, 18 | Type B,  3 | Q Total:     3 | No queue items | 
  Time:    22   | Type D,  3 | Type D, 17 | Type B,  2 | Q Total:     3 | No queue items | 
  Time:    23   | Type D,  2 | Type D, 16 | Type B,  1 | Q Total:     3 | No queue items | 
  Time:    24   | Type D,  1 | Type D, 15 | Type A,  1 | Q Total:     2 | No queue items | 
  Time:    25   | Type C,  6 | Type D, 14 | Type A,  4 | No queue items | No queue items | 
  Time:    26   | Type C,  5 | Type D, 13 | Type A,  3 | Q Total:     2 | No queue items | 
  Time:    27   | Type C,  4 | Type D, 12 | Type A,  2 | Q Total:     2 | No queue items | 
  Time:    28   | Type C,  3 | Type D, 11 | Type A,  1 | Q Total:     2 | No queue items | 
  Time:    29   | Type C,  2 | Type D, 10 | Type A,  5 | Q Total:     1 | No queue items | 
  Time:    30   | Type C,  1 | Type D,  9 | Type A,  4 | Q Total:     1 | No queue items | 
